fecha;baja;alta
16-02-2022;4.61;4.66
15-02-2022;4.59;4.64
14-02-2022;4.6;4.64
13-02-2022;4.63;4.65
12-02-2022;4.63;4.66
11-02-2022;4.61;4.66
10-02-2022;4.59;4.65
09-02-2022;4.59;4.61
08-02-2022;4.6;4.62
07-02-2022;4.61;4.64
06-02-2022;4.6;4.63
05-02-2022;4.6;4.63
04-02-2022;4.6;4.67
03-02-2022;4.66;4.7
02-02-2022;4.69;4.7
01-02-2022;4.69;4.74
31-01-2022;4.73;4.75
30-01-2022;4.73;4.74
29-01-2022;4.73;4.75
28-01-2022;4.73;4.76
27-01-2022;4.73;4.77
26-01-2022;4.76;4.78
25-01-2022;4.78;4.81
24-01-2022;4.79;4.82
23-01-2022;4.79;4.82
22-01-2022;4.8;4.83
21-01-2022;4.8;4.83
20-01-2022;4.78;4.81
19-01-2022;4.8;4.82
18-01-2022;4.81;4.87
17-01-2022;4.87;4.9
16-01-2022;4.89;4.91
15-01-2022;4.9;4.91
14-01-2022;4.86;4.92
13-01-2022;4.84;4.88
12-01-2022;4.04;4.86
11-01-2022;4.03;4.85
10-01-2022;4.06;4.89
09-01-2022;4.07;4.09
08-01-2022;4.07;4.09
07-01-2022;4.08;4.92
06-01-2022;4.9;4.93
05-01-2022;4.82;4.92
04-01-2022;4.76;4.85
03-01-2022;4.69;4.8
02-01-2022;4.69;4.7
01-01-2022;4.67;4.7
31-12-2021;4.68;4.72
30-12-2021;4.72;4.74
29-12-2021;4.67;4.75
28-12-2021;4.64;4.7
27-12-2021;4.61;4.66
26-12-2021;4.61;4.63
25-12-2021;4.59;4.63
24-12-2021;4.59;4.61
23-12-2021;4.59;4.65
22-12-2021;4.63;4.65
21-12-2021;4.64;4.67
20-12-2021;4.66;4.7
19-12-2021;4.66;4.67
18-12-2021;4.65;4.67
17-12-2021;4.64;4.68
16-12-2021;4.64;4.72
15-12-2021;4.66;4.72
14-12-2021;4.69;4.71
13-12-2021;4.69;4.71
12-12-2021;4.69;4.71
11-12-2021;4.7;4.72
10-12-2021;4.71;4.74
09-12-2021;4.74;4.76
08-12-2021;4.73;4.79
07-12-2021;4.73;4.77
06-12-2021;4.76;4.78
05-12-2021;4.77;4.79
04-12-2021;4.77;4.81
03-12-2021;4.76;4.79
02-12-2021;4.79;4.83
01-12-2021;4.82;4.96
30-11-2021;4.93;5.05
29-11-2021;4.97;5.06
28-11-2021;5.01;5.1
27-11-2021;5.03;5.08
26-11-2021;5.01;5.1
25-11-2021;4.98;5.03
24-11-2021;4.85;4.99
23-11-2021;4.71;4.87
22-11-2021;4.72;4.97
21-11-2021;4.92;4.95
20-11-2021;4.9;4.99
19-11-2021;4.83;5.01
18-11-2021;4.71;4.86
17-11-2021;4.64;4.71
16-11-2021;4.56;4.7
15-11-2021;4.52;4.58
14-11-2021;4.52;4.55
13-11-2021;4.5;4.56
12-11-2021;4.5;4.54
11-11-2021;4.5;4.6
10-11-2021;4.54;4.59
09-11-2021;4.48;4.59
08-11-2021;4.44;4.53
07-11-2021;4.46;4.49
06-11-2021;4.47;4.5
05-11-2021;4.48;4.52
04-11-2021;4.49;4.53
03-11-2021;4.43;4.54
02-11-2021;4.42;4.48
01-11-2021;4.45;4.55
31-10-2021;4.51;4.56
30-10-2021;4.49;4.54
29-10-2021;3.61;4.64
28-10-2021;4.55;4.63
27-10-2021;4.43;4.6
26-10-2021;4.32;4.45
25-10-2021;4.3;4.34
24-10-2021;4.3;4.33
23-10-2021;4.28;4.35
22-10-2021;4.28;4.37
21-10-2021;4.2;4.32
20-10-2021;4.14;4.22
19-10-2021;4.1;4.18
18-10-2021;4.07;4.12
17-10-2021;4.07;4.11
16-10-2021;4.07;4.1
15-10-2021;4.06;4.1
14-10-2021;4.07;4.13
13-10-2021;4.09;4.19
12-10-2021;4.01;4.13
11-10-2021;3.98;4.05
10-10-2021;4.03;4.07
09-10-2021;4.03;4.06
08-10-2021;4.03;4.13
07-10-2021;4.01;4.13
06-10-2021;3.93;4.08
05-10-2021;3.96;4.13
04-10-2021;4.11;4.57
03-10-2021;4.56;4.67
02-10-2021;4.58;795204.21
01-10-2021;4.83;4083317.4
30-09-2021;4393958.64;4869937.66
29-09-2021;4100749.61;4498287.92
28-09-2021;4024476.53;4263612.05
27-09-2021;3509485.07;4207933.03
26-09-2021;3998969.75;4210366.54
25-09-2021;4068279.71;4183406.15
24-09-2021;4028057.27;4193554.89
23-09-2021;3851120.53;4178555.09
22-09-2021;3814290.22;4057424.21
21-09-2021;3627537.45;3955132.86
20-09-2021;3750547.05;3946754.1
19-09-2021;3790218.67;3961029.56
18-09-2021;3784442.52;3962347.17
17-09-2021;3694453.56;3999394.54
16-09-2021;3899088.77;4027304.33
15-09-2021;3924481.93;4048314.32
14-09-2021;3880470.22;4062438.81
13-09-2021;3954717.53;4128834.55
12-09-2021;3816056.24;4098116.64
11-09-2021;3893921.94;4172965.69
10-09-2021;3920290.04;4171782.21
09-09-2021;3854629.36;4070368.77
