;cod;producto;linea;stock;fecha
0;00001;PEGA DE CONTACTO/PEGA ZAPATERA (90 ML) ENVASADO;GENERALES;15.5;2022-02-16
1;00002;MANTO ASFALTICO 10MTSx3.2MM BITUPLAST;NO ASIGNADO;3.0;2022-02-16
2;00003;"TACO 1"" BASE REDONDA PVC DURA PARA PATAS DE MUEBLES BD";GENERALES;13.0;2022-02-16
3;00004;MUEBLE ACCESORIOS DE BAÑO HIERRO FORJADO(UNIDAD);HIERRO FORJADO JC Y ABRAZADERAS METALICAS RIEGO;2.0;2022-02-16
4;00005;"NIPLE PLASTICO 1"" * 13CMS";NIPLES DE HIERRO GALVANIZADO, CROMADO Y PLASTICOS;14.0;2022-02-16
5;00006;SIERRA JUEGO 6 PCS SET HOLE SAW;NO ASIGNADO;1.0;2022-02-16
6;00007;LAMPARA MINI LIZ CON BOMBILLO PICKENS 7LED;HIERRO FORJADO JC Y ABRAZADERAS METALICAS RIEGO;2.0;2022-02-16
7;00008;ALAMBRE C-17.5 LISO HG KILOGRAMO VICSON;ALAMBRES Y MALLAS;12.75;2022-02-16
8;00009;MOTOR DE FUMIGAR TOYAMA CON BOMBA TOYAMA 6.5 HP;MOTORES , BOMBAS, ASPIRADORAS Y SOLDADORAS;0.0;2022-02-16
9;00010;"LLAVE 1/2"" ESFERICA GRINACA COLOMBIA";LLAVES O VALVULAS METALICAS;20.0;2022-02-16
10;00011;"BRAZO 1/2"" DUCHA METAL BLISTER FERMETAL/ BRUFER";GRIFERIA GENERAL;8.0;2022-02-16
11;00012;BAILARINA PUNTO NEGRO AGRO APN;ASPERSORES Y REPUESTOS;0.0;2022-02-16
12;00013;ANGEL HIERRO FORJADO;HIERRO FORJADO JC Y ABRAZADERAS METALICAS RIEGO;5.0;2022-02-16
13;00014;"MECHA 1""*12"" CONCRETO TRUPER BCT-1X12";MECHAS, BROCAS, SIERRA COPA;0.0;2022-02-16
14;00015;"RIEGO ADAPTADOR HEMBRA 50MM * 1"" AGRO";CONEXIONES PLASTICAS DE RIEGO;1.0;2022-02-16
15;00016;TEE PEAD SOLDABLE 110MM GEMACA;CONEXIONES PLASTICAS DE RIEGO;4.0;2022-02-16
16;00017;"RIEGO ADAPTADOR MACHO 50 MM * 1 1/2"" AGRO";CONEXIONES PLASTICAS DE RIEGO;135.0;2022-02-16
17;00018;LAPICERO BIC;NO ASIGNADO;104.0;2022-02-16
18;00019;"UNION PATENTE PLASTICA 3/4"" BLANCA ROSCADA PCP";TUBERIAS AGUAS BLANCAS PLASTICAS Y GALVANIZADAS;0.0;2022-02-16
19;00020;"TACO 1-1/2""*1"" CUADRADO REGATON EXTERNO PLASTICO PARA PATAS DE ESTANTES T112CE";GENERALES;39.0;2022-02-16
20;00021;IMPERMEABLE TRANSPARENTE;NO ASIGNADO;5.0;2022-02-16
21;00022;"TACO 1-1/2""*1"" CUADRADO REGATON INTERNO PLASTICO PARA PATAS DE ESTANTES T112CI";GENERALES;35.0;2022-02-16
22;00023;LANZA LARGA 2 PARTES PARA FUMIGAR GUERRERA;EQUIPO MANUAL;0.0;2022-02-16
23;00024;"MANGUERA 1/2"" TRANSPARENTE/ VERDE CAN-CAN POR METRO (ROLLO 100 MTS)";MANGUERAS GENERALES NO DE POLIETILENO;46.0;2022-02-16
24;00025;"CRUZETA DE 100MM/4"" * 80MM/3"" * 100MM/4"" TV";GENERALES;1.0;2022-02-16
25;00026;CONFITERIA TOSTON CON AJO 40G;CHUCHERIAS;12.0;2022-02-16
26;00027;R. RESORTE DE RETORNO PARA REGADOR 0.20;ASPERSORES Y REPUESTOS;14.0;2022-02-16
27;00028;TEFLON PROF 1/2 * 10mts SUPER EXTRA LUZ/P.T.F.E;GENERALES;50.0;2022-02-16
28;00029;"EMPAQUE 2 1/2"" TUBOVEN";GENERALES;0.0;2022-02-16
29;00030;BOMBILLO 30W LED INDUSTRIAL E27 KINGSBRIGHT;ELECTRICIDAD;20.0;2022-02-16
30;00031;"41-WC 04 TAPON 1/4"" BRONCE NPT INVERTIDA";TUBERIA DE COBRE Y CONEXIONES DE BRONCE;5.0;2022-02-16
31;00032;"DERIVACION LATERAL 80MM/3"" CNG 2 1/2"" TV";GENERALES;2.0;2022-02-16
