;num;fecha;cliente;vendedor;cod;producto;cantidad;monto;tipo;tasa_dolar;monto_dolar
0;0000003927;2021-10-27;4548435.0;14;00132;"TEFLON 3/4""*15M TENUTA";1.0;4.6;ne;4.43;1.0383747178329572
1;0000003927;2021-10-27;4548435.0;14;03653;CONECTOR PARA CABLE COAXIAL ROJO 1*100 RG6;6.0;30.9;ne;4.43;6.975169300225733
2;0000003927;2021-10-27;4548435.0;14;04055;BOLSA 200 LITROS NEGRA PARA BASURA POR UNIDAD;6.0;5.46;ne;4.43;1.2325056433408579
3;0000003927;2021-10-27;4548435.0;14;04349;PILA ALCALINA AAA 1,5V VERT (BLISTER 4 PZS) AAA4;1.0;6.26;ne;4.43;1.4130925507900678
4;0000003927;2021-10-27;4548435.0;14;04543;PINTURA EN SPRAY VARIOS COLORES MASSO EXCEPTO AT,ORO,FLUORESENTE;1.0;16.95;ne;4.43;3.8261851015801356
5;0000000002;2021-01-26;2809020.0;11;00911;"PUNTO SOLDADURA PEAD DESDE 32MM A 250MM/8""";6.0;0.06;ne;1.74075597;0.03446778355727828
6;0000000002;2021-01-26;2809020.0;11;02307;"LLAVE 4""/110MM COMPUERTA BRIDADA HF 150PSI";1.0;475.0;ne;1.74075597;272.8699531617864
7;0000000200;2021-01-09;12491828;11;00015;"RIEGO ADAPTADOR HEMBRA 50MM * 1"" AGRO";2.0;4.8;fa;3.90923928;1.22786037287541
8;0000000200;2021-01-09;12491828;11;00151;"RIEGO ADAPTADOR MACHO 32MM * 1"" AGRO/MOM";3.0;2.64;fa;3.90923928;0.6753232050814756
9;0000000200;2021-01-09;12491828;11;00166;RIEGO UNION RAPIDA 32MM AGRO;2.0;3.68;fa;3.90923928;0.9413596192044812
10;0000000205;2021-01-09;28980336;1;00271;"PVC SEMI CODO 75MM/3"" AGUAS NEGRAS AMARILLO";1.0;1.67;fa;3.90923928;0.4271930880629031
11;0000000200;2021-01-09;12491828;11;00490;RIEGO TEE RAPIDA 32 MM AGRO/MOM;1.0;2.43;fa;3.90923928;0.6216043137681765
12;0000001372;2021-02-05;310875820;13;00132;"TEFLON 3/4""*15M TENUTA";1.0;1.53;fa;2.71384438;0.5637758787038482
13;0000001372;2021-02-05;310875820;13;00180;"TORNILLO 10*2"" AUTOROSCANTE ESTRIA";6.0;0.53;fa;2.71384438;0.1952949122307448
14;0000001372;2021-02-05;310875820;13;00500;"TEIPE ELECTRICO 3/4""*18MTS  NEGRO COBRA";1.0;2.3;fa;2.71384438;0.8475062228881377
15;0000001372;2021-02-05;310875820;13;00825;"LLAVE 8"" AJUSTABLE STANLEY";1.0;5.0;fa;2.71384438;1.8424048323655169
16;0000001372;2021-02-05;310875820;13;00866;CANDADO 25MM 30MM 40MM CASTOR/IRON LOCK;1.0;3.06;fa;2.71384438;1.1275517574076963
17;0000001372;2021-02-05;310875820;13;00879;LLAVE COMBINADA 17MM ACESA/PROMI;1.0;14.11;fa;2.71384438;5.199266436935488
18;0000001372;2021-02-05;310875820;13;00982;LLAVE COMBINADA 12MM BRUFER;1.0;3.06;fa;2.71384438;1.1275517574076963
19;0000001372;2021-02-05;310875820;13;01101;"RAMPLUG PLASTICO VERDE 3""*1/4""";6.0;0.2;fa;2.71384438;0.07369619329462068
20;0000001372;2021-02-05;310875820;13;01184;CINTA METALICA ACERO INOXIDABLE POR METRO;1.0;2.72;fa;2.71384438;1.0022682288068412
21;0000001372;2021-02-05;310875820;13;01601;"RAMPLUG PLASTICO AZUL 3""*5/16""";6.0;0.29;fa;2.71384438;0.10685948027719998
22;0000001372;2021-02-05;310875820;13;01602;"RAMPLUG PLASTICO NARANJA 2""*3/8""";6.0;0.49;fa;2.71384438;0.18055567357182065
23;0000001372;2021-02-05;310875820;13;01691;"TORNILLO 8*1-1/2"" AUTOROSCANTE ESTRIA";6.0;0.53;fa;2.71384438;0.1952949122307448
24;0000001372;2021-02-05;310875820;13;02277;"TORNILLO 6*1"" AUTOROSCANTE ESTRIA";10.0;0.65;fa;2.71384438;0.2395126282075172
25;0000001372;2021-02-05;310875820;13;02279;"TORNILLO 6*1 1/2"" AUTOROSCANTE ESTRIA";6.0;0.39;fa;2.71384438;0.14370757692451033
26;0000001372;2021-02-05;310875820;13;02701;"RAMPLUG PLASTICO ROJO 3/16""*3""";10.0;0.33;fa;2.71384438;0.12159871893612413
27;0000001372;2021-02-05;310875820;13;02895;"RAMPLUG METALICO 1/2"" CON TORNILO";2.0;8.09;fa;2.71384438;2.9810110187674064
28;0000001372;2021-02-05;310875820;13;03023;R. BOMBA TOYAMA;1.0;4.03;fa;2.71384438;1.4849782948866068
29;0000001372;2021-02-05;310875820;13;03191;LLAVE COMBINADA 7MM BRUFER/PROMI;1.0;2.3;fa;2.71384438;0.8475062228881377
30;0000001372;2021-02-05;310875820;13;03899;"ALICATE  6"" ELECTRICISTA TOTAL";1.0;6.12;fa;2.71384438;2.2551035148153926
31;0000001372;2021-02-05;310875820;13;04031;CAJA DE HERRAMIENTAS METALICA PEQUEÑA;1.0;22.96;fa;2.71384438;8.460322990222455
32;0000001372;2021-02-05;310875820;13;04088;PROBADOR DE CORRIENTE STANLEY;1.0;5.36;fa;2.71384438;1.9750579802958343
33;0000001372;2021-02-05;310875820;13;04352;DESTORNILLADORES SET 4 PIEZAS SEDY;1.0;3.06;fa;2.71384438;1.1275517574076963
